"filename", "language", "Java", "comment", "blank", "total"
"d:\Learn APP\JAVA\Client_Serverlab\E.class", "Java", -5, 0, -1, -6
"d:\Learn APP\JAVA\Client_Serverlab\E.java", "Java", -6, 0, -2, -8
"d:\Learn APP\JAVA\Client_Serverlab\TCPClient.java", "Java", -17, 0, -3, -20
"d:\Learn APP\JAVA\Client_Serverlab\TCPServer.java", "Java", -18, 0, -4, -22
"Total", "-", -46, 0, -10, -56
