"filename", "language", "Log", "Java", "comment", "blank", "total"
"d:\Learn APP\JAVA\Server\ATMServer.java", "Java", 0, 255, 39, 24, 318
"d:\Learn APP\JAVA\Server\server.log", "Log", 421, 0, 0, 1, 422
"Total", "-", 421, 255, 39, 25, 740
